episode_id	title	year	type	description
37	…und der heimliche Hehler	1986	regular	Ein unauffälliger Mann entpuppt sich als Kopf eines Hehlerrings.
38	…und der unsichtbare Gegner	1986	regular	Ein Gegner agiert aus dem Verborgenen und bleibt lange unerkannt.
39	…und die Perlenvögel	1986	regular	Exotische Vögel sind der Schlüssel zu einem Schmuggelring.
40	…und der Automarder	1986	regular	Eine Serie von Autoschäden führt zu einem ungewöhnlichen Täter.
41	…und das Volk der Winde	1987	regular	Ein abgeschottetes Volk hütet ein wertvolles Geheimnis.
42	…und der weinende Sarg	1987	regular	Aus einem Sarg dringen unheimliche Geräusche.
43	…und der höllische Werwolf	1987	regular	Ein Werwolf soll nachts sein Unwesen treiben.
44	…und der gestohlene Preis	1987	regular	Ein wertvoller Preis wird entwendet und soll verkauft werden.
45	…und das Gold der Wikinger	1987	regular	Ein alter Wikingerschatz wird gesucht und verteidigt.
46	…und der schrullige Millionär	1988	regular	Ein exzentrischer Millionär engagiert die drei Detektive.
47	…und der giftige Gockel	1988	regular	Ein Hahn scheint mit Vergiftungen in Verbindung zu stehen.
48	…und die gefährlichen Fässer	1988	regular	Gefährliche Fässer enthalten mehr als nur Abfall.
49	…und die Comic-Diebe	1988	regular	Wertvolle Comics werden systematisch gestohlen.
50	…und der verschwundene Filmstar	1988	regular	Ein berühmter Schauspieler verschwindet unter mysteriösen Umständen.
51	…und der riskante Ritt	1989	regular	Ein gefährliches Reitturnier führt die Detektive in einen Fall voller Sabotage.
52	…und die Musikpiraten	1989	regular	Illegale Kopien und Erpressung bedrohen Musiker und Produzenten.
53	…und die Automafia	1989	regular	Eine organisierte Bande manipuliert und stiehlt hochwertige Fahrzeuge.
54	…und die Musikdiebe	1989	regular	Wertvolle Instrumente verschwinden aus einem Orchester.
55	…und der Hexengarten	1990	regular	Ein geheimnisvoller Garten spielt eine Schlüsselrolle in einem Betrugsfall.
56	…und der Hexer	1990	regular	Eine bedrohliche Gestalt nutzt Angst als Werkzeug für Verbrechen.
57	…und die Rasende Meute	1990	regular	Eine aggressive Gruppe verbreitet Chaos und Schrecken in Rocky Beach.
58	…und der verrückte Maler	1990	regular	Eigenartige Gemälde verbergen Hinweise auf ein Verbrechen.
59	…und der Fluch des Goldes	1991	regular	Ein Goldfund scheint unter einem dunklen Fluch zu stehen.
60	…und der Dopingmixer	1991	regular	Illegales Doping im Sport führt zu einem brisanten Fall.
61	…und die Rache des Tigers	1991	regular	Ein Tiger wird zum Symbol eines gefährlichen Racheplans.
62	…und der Moorhund	1991	regular	Ein unheimlicher Hund versetzt ein Moorgebiet in Angst.
63	…und der Augenzeugen-Film	1992	regular	Ein Film enthält entscheidende Hinweise auf ein Verbrechen.
64	…und das Geisterschiff	1992	regular	Ein verlassenes Schiff taucht auf und sorgt für Spekulationen.
65	…und der Schatz der Mönche	1992	regular	Ein alter Klosterschatz lockt Diebe und Abenteurer an.
66	…und die Schattenmänner	1992	regular	Dunkle Gestalten bedrohen Zeugen und Ermittlungen.
67	…und das Geheimnis der Särge	1993	regular	Mehrere Särge verbergen ein gemeinsames Geheimnis.
68	…und der Schatz im Bergsee	1993	regular	Ein versunkener Schatz soll in einem Bergsee liegen.
69	…und der Teufelssee	1993	regular	Ein abgelegener See ist Mittelpunkt mysteriöser Vorfälle.
70	…und die verschwundene Seglerin	1993	regular	Eine Seglerin verschwindet spurlos auf offener See.
71	…und die verschwundenen Kinder	1994	regular	Mehrere Kinder verschwinden unter rätselhaften Umständen.
72	…und der Schatz der Azteken	1994	regular	Ein legendärer Schatz weckt internationale Begehrlichkeiten.
73	…und der seltsame Wettbewerb	1994	regular	Ein Wettbewerb entpuppt sich als Teil eines Betrugsplans.
74	…und das brennende Schwert	1994	regular	Ein scheinbar magisches Schwert weist den Weg zu einem Geheimnis.
75	…und der Feuerteufel	1995	regular	Brandstiftungen werden einer mysteriösen Gestalt zugeschrieben.
76	…und der Phantom-See	1995	regular	Ein See erscheint und verschwindet – mit ihm wertvolle Beweise.
77	…und der Dietrich der Götter	1995	regular	Ein spezielles Werkzeug öffnet mehr als nur Türen.
78	…und das Geheimnis der Diva	1995	regular	Eine berühmte Sängerin hütet ein gefährliches Geheimnis.
79	…und der Schrei des Löwen	1996	regular	Ein nächtlicher Schrei kündigt Verbrechen an.
80	…und der Schwarze Tag	1996	regular	Eine Reihe von Ereignissen eskaliert an einem entscheidenden Tag.
81	…und das Kabinett des Zauberers	1996	regular	Ein Zauberkabinett dient als Tarnung für Betrug.
82	…und der Meteoritenschreck	1996	regular	Ein Meteorit sorgt für Panik und kriminelle Ausnutzung.
83	…und der Friedhof der Kuscheltiere	1997	regular	Ein seltsamer Fundort führt zu einem düsteren Geheimnis.
84	…und der Giftmischer	1997	regular	Ein Täter mischt unbemerkt gefährliche Substanzen.
85	…und der Mann ohne Augen	1997	regular	Ein mysteriöser Mann gibt unlösbare Rätsel auf.
86	…und das Geisterzimmer	1997	regular	Ein Zimmer scheint von übernatürlichen Kräften beherrscht.
87	…und der kopflose Reiter	1998	regular	Eine legendäre Erscheinung wird für Verbrechen genutzt.
88	…und das Vampir-Phantom	1998	regular	Ein Vampirmythos dient als perfekte Tarnung.
89	…und der unsichtbare Passagier	1998	regular	Ein blinder Passagier bleibt lange unentdeckt.
90	…und der dunkle Taipan	1998	regular	Eine hochgiftige Schlange steht im Zentrum des Falls.
91	…und das Todeshaus	1999	regular	Ein verlassenes Haus birgt tödliche Gefahren.
92	…und der rote Pirat	1999	regular	Eine Piratenfigur taucht bei mehreren Verbrechen auf.
93	…und das schwarze Monster	1999	regular	Ein angebliches Monster versetzt Menschen in Angst.
94	…und der Geisterzug	2000	regular	Ein Zug fährt ohne Fahrer durch die Nacht.
95	…und die Spur des Spielers	2000	regular	Die Spur eines mysteriösen Spielers führt tief ins Milieu.
96	…und der Fluch des Drachen	2000	regular	Ein Drachenmythos wird für Verbrechen instrumentalisiert.
97	…und die Meuterei der Geister	2000	regular	Geisterhafte Erscheinungen deuten auf eine geplante Meuterei hin.
98	…und der Schatz der Piraten	2001	regular	Ein Piratenschatz sorgt für einen Wettlauf gegen die Zeit.
99	…und das Tal des Schreckens	2001	regular	Ein abgelegenes Tal wird zum Schauplatz gefährlicher Ereignisse.
100	…und das Hexenhandy	2001	regular	Ein manipuliertes Handy scheint übernatürliche Kräfte zu besitzen.
101	…und der Hexenbesen	2001	regular	Ein scheinbar magischer Besen führt zu einem komplexen Betrugsfall.
102	…und der Nebelberg	2002	regular	Ein Berg voller Nebel verbirgt ein Geheimnis.
103	…und das Erbe des Meisterdiebs	2002	regular	Das Vermächtnis eines berühmten Diebs lockt viele Interessenten an.
104	…und das Grab der Inka-Mumie	2002	regular	Eine Inka-Mumie und ihr Grab werden zum Ziel von Grabräubern.
105	…und der Nebelberg	2002	regular	Mysteriöse Vorgänge auf einem nebelverhangenen Berg.
106	…und der Mann ohne Kopf	2003	regular	Eine kopflose Gestalt versetzt die Menschen in Angst.
107	…und der Schatz von Terror Island	2003	regular	Auf einer gefährlichen Insel wartet ein legendärer Schatz.
108	…und die Sieben Tore	2003	regular	Sieben Tore müssen geöffnet werden, um ein Geheimnis zu lüften.
109	…und der Sinn des Lebens	2003	regular	Ein philosophischer Fall mit überraschenden Wendungen.
110	…und der Fluch des Piraten	2003	regular	Ein Piratenfluch scheint sich zu bewahrheiten.
111	…und die Höhle des Grauens	2004	regular	Eine Höhle birgt schreckliche Geheimnisse.
112	…und der gefiederte Schrecken	2004	regular	Ein mysteriöser Vogel steht im Mittelpunkt des Falls.
113	…und das Auge des Drachen	2004	regular	Ein wertvolles Drachenauge wird gesucht.
114	…und der Geisterbunker	2004	regular	Ein alter Bunker dient als Versteck für Kriminelle.
115	…und der schwarze Skorpion	2005	regular	Ein schwarzer Skorpion ist das Symbol einer gefährlichen Organisation.
116	…und der Kristallschädel	2005	regular	Ein mysteriöser Kristallschädel führt zu einem alten Geheimnis.
117	…und der finstere Rivale	2005	regular	Ein Rivale macht den drei Detektiven das Leben schwer.
118	…und das düstere Vermächtnis	2005	regular	Ein düsteres Erbe bringt Gefahr mit sich.
119	…und der geheime Schlüssel	2006	regular	Ein Schlüssel öffnet mehr als nur eine Tür.
120	…und der Schwarze Tag	2006	regular	An einem schwarzen Tag häufen sich mysteriöse Ereignisse.
121	…und der verschwundene Goldschatz	2006	regular	Ein wertvoller Goldschatz verschwindet spurlos.
122	…und der Geisterzug	2006	regular	Ein verlassener Zug fährt durch die Nacht.
123	…und das Fußballphantom	2007	regular	Im Fußballstadion geschehen unerklärliche Dinge.
124	…und der Geister-Canyon	2007	regular	Ein Canyon wird von Geistern heimgesucht.
125	…und der Fluch des Rubins	2007	regular	Ein verfluchter Rubin bringt Unglück über seine Besitzer.
126	…und das Geisterhaus	2007	regular	Ein verlassenes Haus wird zum Schauplatz mysteriöser Ereignisse.
127	…und Poltergeist	2008	regular	Ein Poltergeist versetzt ein ganzes Haus in Aufruhr.
128	…und der Fluch des Drachen	2008	regular	Ein Drachenfluch bedroht die Bewohner.
129	…und SMS aus dem Grab	2008	regular	Mysteriöse SMS scheinen aus einem Grab zu kommen.
130	…und der Fluch des Goldes	2008	regular	Ein Goldfluch verfolgt seine Besitzer.
131	…und das Haus der 1000 Rätsel	2009	regular	Ein Haus voller Rätsel wartet auf die Detektive.
132	…und der verhängnisvolle Dreh	2009	regular	Bei Dreharbeiten geschehen seltsame Dinge.
133	…und Fels der Dämonen	2009	regular	Ein Felsen wird von Dämonen bewohnt.
134	…und der tote Mönch	2009	regular	Ein toter Mönch gibt Rätsel auf.
135	…und das versunkene Dorf	2010	regular	Ein versunkenes Dorf taucht wieder auf.
136	…und das versunkene Schiff	2010	regular	Ein gesunkenes Schiff birgt wertvolle Geheimnisse.
137	…und die geheime Gruft	2010	regular	Eine Gruft verbirgt ein lang gehütetes Geheimnis.
138	…und die Katze im Labyrinth	2010	regular	Eine Katze führt durch ein verwirrendes Labyrinth.
139	…und das Geheimnis der Diva	2011	regular	Eine Operndiva hütet ein gefährliches Geheimnis.
140	…und Stadt der Vampire	2011	regular	Eine Stadt wird von Vampirlegenden heimgesucht.
141	…und die Fußball-Falle	2011	regular	Im Fußball wird eine gefährliche Falle gestellt.
142	…und der tote Maler	2011	regular	Ein toter Maler hinterlässt geheimnisvolle Werke.
143	…und der Feuerteufel	2012	regular	Ein Feuerteufel sorgt für Angst und Schrecken.
144	…und der verschwundene Arm	2012	regular	Ein abgetrennter Arm führt zu einem makabren Fall.
145	…und die Rache der Samurai	2012	regular	Samurai sinnen auf Rache.
146	…und der Biss der Bestie	2012	regular	Eine Bestie hinterlässt ihre Spuren.
147	…und Grusel auf Campbell Castle	2013	regular	Auf einem Schloss spukt es gewaltig.
148	…und der Teufels-Canyon	2013	regular	Ein Canyon wird vom Teufel heimgesucht.
149	…und der unsichtbare Gegner	2013	regular	Ein unsichtbarer Feind macht Jagd auf die Detektive.
150	…und der Geisterbunker	2013	regular	In einem alten Bunker spuken Geister.
151	…und der Eisenmann	2014	regular	Ein mysteriöser Eisenmann taucht auf.
152	…und Skateboardfieber	2014	regular	Skateboarding wird zum Thema eines spannenden Falls.
153	…und der Zentaur	2014	regular	Ein Zentaur wird in der Stadt gesichtet.
154	…und der schreiende Nebel	2014	regular	Aus dem Nebel dringen unheimliche Schreie.
155	…und das verfluchte Schloss	2015	regular	Ein Schloss steht unter einem alten Fluch.
156	…und das Gold der Inkas	2015	regular	Inka-Gold lockt Schatzsucher an.
157	…und der Meister der Angst	2015	regular	Ein Meister der Angst verbreitet Schrecken.
158	…und der Feuergeist	2015	regular	Ein Feuergeist terrorisiert die Gegend.
159	…und der gekaufte Spieler	2016	regular	Korruption im Sport führt zu einem brisanten Fall.
160	…und Geheimnisvolle Botschaften	2016	regular	Rätselhafte Botschaften müssen entschlüsselt werden.
161	…und der schreiende Wecker	2016	regular	Ein Wecker gibt unheimliche Laute von sich.
162	…und der Meister des Todes	2016	regular	Ein Meister des Todes bedroht die Stadt.
163	…und der verschollene Pilot	2017	regular	Ein Pilot verschwindet unter mysteriösen Umständen.
164	…und der dunkle Wächter	2017	regular	Ein dunkler Wächter bewacht ein Geheimnis.
165	…und der düstere Werwolf	2017	regular	Ein Werwolf treibt sein Unwesen.
166	…und die Zeitreisende	2017	regular	Eine Zeitreisende bringt Verwirrung.
167	…und das blaue Biest	2018	regular	Ein blaues Biest versetzt die Menschen in Angst.
168	…und der Schatz im Dschungel	2018	regular	Im Dschungel wartet ein legendärer Schatz.
169	…und die Spur des Spielers	2018	regular	Die Spur eines mysteriösen Spielers wird verfolgt.
170	…und die dunkelste Nacht	2018	regular	In der dunkelsten Nacht geschehen seltsame Dinge.
171	…und das Phantom aus dem Meer	2019	regular	Ein Phantom steigt aus den Tiefen des Meeres auf.
172	…und der Eisenmann	2019	regular	Der Eisenmann kehrt zurück.
173	…und Pistenteufel	2019	regular	Auf der Skipiste treibt ein Teufel sein Unwesen.
174	…und das Schattengrab	2019	regular	Ein Grab wirft dunkle Schatten.
175	…und der Geist des Goldgräbers	2020	regular	Der Geist eines Goldgräbers spukt.
176	…und die Rache des Untoten	2020	regular	Ein Untoter sinnt auf Rache.
177	…und das versunkene Gold	2020	regular	Versunkenes Gold wird gesucht.
178	…und der Blutrote Smaragd	2020	regular	Ein blutroter Smaragd zieht Diebe an.
179	…und der Teufelsberg	2021	regular	Der Teufelsberg birgt dunkle Geheimnisse.
180	…und das versunkene Dorf	2021	regular	Ein versunkenes Dorf taucht wieder auf.
181	…und das Schattengrab	2021	regular	Ein weiteres Schattengrab wird entdeckt.
182	…und der lebende Schatten	2021	regular	Ein lebender Schatten verfolgt seine Opfer.
183	…und der letzte Song	2022	regular	Ein letzter Song enthält wichtige Hinweise.
184	…und der Hexenwald	2022	regular	Im Hexenwald geschehen seltsame Dinge.
185	…und der verschollene Pilot	2022	regular	Ein weiterer Pilot verschwindet.
186	…und die brennende Spur	2022	regular	Eine brennende Spur führt zu Tätern.
187	…und das silberne Amulett	2023	regular	Ein silbernes Amulett besitzt magische Kräfte.
188	…und der Fluch des Drachen	2023	regular	Der Drachenfluch schlägt erneut zu.
189	…und die gefährliche Erbschaft	2023	regular	Eine Erbschaft bringt große Gefahr.
190	…und die Kammer der Rätsel	2023	regular	Eine Kammer voller Rätsel wartet.
191	…und die Zeitfalle	2024	regular	Eine Falle in der Zeit wird gestellt.
192	…und der Schatz im Bergsee	2024	regular	Im Bergsee liegt ein wertvoller Schatz.
193	…und das Grab der Maya	2024	regular	Ein Maya-Grab wird entdeckt.
194	…und das Auge des Sturms	2024	regular	Im Auge des Sturms wird ermittelt.
195	…und der Zug der Verlorenen	2024	regular	Ein Zug mit Verlorenen fährt durch die Nacht.
196	…und die Nacht des Grauens	2024	regular	Eine Nacht voller Grauen bricht an.
197	…und der verschwundene Pokal	2024	regular	Ein wertvoller Pokal verschwindet.
198	…und das ewige Feuer	2025	regular	Ein ewiges Feuer brennt.
199	…und das Geheimnis des Alchemisten	2025	regular	Ein Alchemist hütet ein dunkles Geheimnis.
200	…und die Feuerfalle	2025	regular	Eine Feuerfalle wird gestellt.
201	…und die Nacht der Tiger	2025	regular	In der Nacht der Tiger geschehen Verbrechen.
202	…und das schwarze Tier	2025	regular	Ein schwarzes Tier terrorisiert die Gegend.
203	…und der verborgene Schatz	2025	regular	Ein verborgener Schatz wird gesucht.
204	…und das Haus der Angst	2025	regular	Ein Haus voller Angst wird untersucht.
205	…und das Rätsel der Könige	2025	regular	Das Rätsel der Könige muss gelöst werden.
206	…und der eiserne Ritter	2026	regular	Ein eiserner Ritter erwacht zum Leben.
207	…und der geheime Tresor	2026	regular	Ein geheimer Tresor wird geöffnet.
208	…und die Schlangeninsel	2026	regular	Auf einer Insel leben gefährliche Schlangen.
209	…und die brennende Seele	2026	regular	Eine brennende Seele sucht Erlösung.
210	…und der Zorn des Himmels	2026	regular	Der Zorn des Himmels bricht los.
211	…und der goldene Phönix	2026	regular	Ein goldener Phönix erhebt sich.
212	…und das verfluchte Land	2026	regular	Ein verfluchtes Land wird durchquert.
213	…und das Geheimnis der Ruinen	2026	regular	Ruinen bergen ein altes Geheimnis.
214	…und die verschwundene Prinzessin	2026	regular	Eine Prinzessin verschwindet spurlos.
215	…und der vergessene Schatz	2026	regular	Ein vergessener Schatz wird wiederentdeckt.
216	…und das Phantom der Oper	2026	regular	In der Oper spukt ein Phantom.
217	…und der Fluch des Rubins	2026	regular	Der Rubin-Fluch kehrt zurück.
218	…und der verschollene Forscher	2026	regular	Ein Forscher verschwindet bei Expeditionen.
219	…und das verborgene Grab	2026	regular	Ein verborgenes Grab wird entdeckt.
220	…und die geheimnisvolle Insel	2026	regular	Eine Insel voller Geheimnisse.
